CSDUID,LOCAL_YEAR,POP
2437235,2018,5865
2457025,2018,5852
2430030,2018,5611
2419068,2018,5686
2454008,2018,5736
2460035,2018,5568
2446075,2018,5590
2470012,2018,5587
2482005,2018,5707
2442088,2018,5395
2441038,2018,5389
2471033,2018,5426
2455057,2018,5425
2463035,2018,5304
2471100,2018,5266
2466047,2018,5234
2466117,2018,5185
2449048,2018,4974
2478010,2018,5210
2499814,2018,5124
2413073,2018,4864
2427043,2018,4877
2451085,2018,4937
2452017,2018,5047
2449070,2018,4803
2462047,2018,4772
2439077,2018,4653
2451090,2018,4595
2455065,2018,4550
2462015,2018,4483
2447025,2018,4555
2434007,2018,4474
2445115,2018,4563
2479037,2018,4421
2433045,2018,4404
2452035,2018,4297
2477050,2018,4269
2421035,2018,4210
2414085,2018,4080
2442025,2018,4287
2406013,2018,4013
2412015,2018,4180
2446058,2018,4044
2463013,2018,4038
2493012,2018,3906
2419062,2018,4018
2461013,2018,4015
2468030,2018,4054
2466007,2018,3923
2462060,2018,3919
2461040,2018,3976
2483065,2018,3837
2417078,2018,3822
2447047,2018,4007
2440047,2018,3816
2466112,2018,3861
2428053,2018,3866
2472032,2018,4030
2494255,2018,3866
2480027,2018,3740
2421025,2018,3820
2421040,2018,3820
2405070,2018,3704
2435027,2018,3718
2441060,2018,3813
2477035,2018,3659
2469037,2018,3651
2428020,2018,3510
2499804,2018,3673
2478047,2018,3579
2477065,2018,3546
2498040,2018,3384
2414018,2018,3448
2460020,2018,3414
2446050,2018,3498
2402015,2018,3445
2434030,2018,3458
2422025,2018,3492
2417070,2018,3388
2489015,2018,3249
2419055,2018,3438
2437230,2018,3446
2421010,2018,3373
2429057,2018,3258
2461027,2018,3456
2411040,2018,3209
2468050,2018,3441
2442098,2018,3231
2460040,2018,3209
2434048,2018,3260
2462025,2018,3239
2441055,2018,3191
2405032,2018,3139
2444071,2018,3106
2457033,2018,3184
2447010,2018,3216
2402005,2018,3031
2456097,2018,3188
2454072,2018,3056
2418045,2018,3103
2495045,2018,2967
2415035,2018,3096
2410030,2018,3055
2492040,2018,3050
2476008,2018,3015
2439060,2018,3085
2461050,2018,3123
2451065,2018,2956
2477030,2018,3090
2442005,2018,2956
2419105,2018,2947
2434065,2018,2940
2455015,2018,2946
2454030,2018,2994
2426063,2018,3063
2478005,2018,2945
2421030,2018,2854
2489040,2018,2792
2413005,2018,2845
2451020,2018,2911
2480050,2018,2823
2476052,2018,2804
2493030,2018,2929
2409092,2018,2788
2461045,2018,2884
2431056,2018,2774
2499095,2018,2791
2445008,2018,2795
2494245,2018,2844
2455037,2018,2809
2491035,2018,2723
2477012,2018,2963
2453065,2018,2749
2487058,2018,2731
2479078,2018,2787
2455008,2018,2806
2479097,2018,2725
2405045,2018,2720
2432045,2018,2617
2441098,2018,2654
2469017,2018,2719
2452080,2018,2660
2434038,2018,2643
2457045,2018,2679
2469070,2018,2662
2452085,2018,2640
2467040,2018,2693
2406005,2018,2657
2456023,2018,2686
2485025,2018,2515
2433060,2018,2582
2413095,2018,2517
2454060,2018,2591
2446035,2018,2564
2454035,2018,2439
2449040,2018,2576
2493020,2018,2564
2433035,2018,2644
2433102,2018,2512
2456055,2018,2540
2429045,2018,2525
2478120,2018,2411
2497035,2018,2386
2454017,2018,2549
2445060,2018,2559
2435050,2018,2398
2453025,2018,2470
2404047,2018,2382
2483032,2018,2426
2427008,2018,2443
2469055,2018,2475
2485005,2018,2376
2419097,2018,2471
2426022,2018,2484
2429112,2018,2382
2417010,2018,2374
2419082,2018,2387
2469802,2018,2389
2426048,2018,2499
2462085,2018,2337
2426055,2018,2437
2431015,2018,2338
2467055,2018,2341
2450042,2018,2463
2451008,2018,2323
2457068,2018,2330
2407018,2018,2297
2446090,2018,2323
2484065,2018,2328
2442020,2018,2366
2492030,2018,2248
2452040,2018,2319
2454025,2018,2327
2496802,2018,2273
2471020,2018,2325
2499005,2018,2175
2434058,2018,2238
2499806,2018,2262
2429013,2018,2169
2402047,2018,2240
2431122,2018,2185
2462065,2018,2257
2453040,2018,2237
2452095,2018,2212
2457050,2018,2226
2467005,2018,2307
2447055,2018,2244
2442055,2018,2171
